库位,时间,状态,结果,1-CH01,1-CH02,1-CH03,1-CH04,1-CH05,1-CH06,1-CH07,1-CH08,1-CH09,1-CH10,1-CH11,1-CH12,1-CH13,1-CH14,1-CH15,1-CH16,
<L1-01-01>,09:31:06,OK,NG,PASS|5.367V|3.99A,PASS|5.259V|3.99A,PASS|5.286V|3.99A,PASS|5.339V|3.99A,PASS|5.320V|3.99A,PASS|5.351V|3.99A,PASS|5.316V|3.99A,PASS|5.274V|3.99A,PASS|5.329V|3.99A,PASS|5.270V|3.99A,PASS|5.357V|3.99A,PASS|5.347V|3.99A,FAIL|0.000V|0.00A,PASS|5.268V|3.99A,PASS|5.385V|3.99A,PASS|5.348V|3.99A,
<L1-01-02>,09:31:06,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-02-01>,09:38:07,OK,OK,PASS|5.383V|3.99A,PASS|5.290V|3.99A,PASS|5.282V|3.99A,PASS|5.358V|3.99A,PASS|5.305V|3.99A,PASS|5.454V|3.99A,PASS|5.336V|3.99A,PASS|5.411V|3.99A,PASS|5.351V|3.99A,PASS|5.305V|3.99A,PASS|5.387V|3.99A,PASS|5.370V|3.99A,PASS|5.311V|3.99A,PASS|5.289V|3.99A,PASS|5.462V|3.99A,PASS|5.332V|3.99A,
<L1-02-02>,09:38:07,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-03-01>,09:41:43,OK,OK,PASS|5.333V|4.00A,PASS|5.205V|4.00A,PASS|5.260V|4.00A,PASS|5.321V|4.00A,PASS|5.294V|4.00A,PASS|5.337V|4.00A,PASS|5.329V|4.00A,PASS|5.300V|4.00A,PASS|5.312V|4.00A,PASS|5.206V|4.00A,PASS|5.275V|4.00A,PASS|5.292V|4.00A,PASS|5.263V|4.00A,PASS|5.266V|4.00A,PASS|5.338V|4.00A,PASS|5.260V|4.00A,
<L1-03-02>,09:41:43,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-04-01>,09:45:19,OK,OK,PASS|5.356V|3.99A,PASS|5.342V|3.99A,PASS|5.276V|3.99A,PASS|5.339V|3.99A,PASS|5.317V|3.99A,PASS|5.406V|3.99A,PASS|5.333V|3.99A,PASS|5.311V|3.99A,PASS|5.367V|3.99A,PASS|5.243V|3.99A,PASS|5.318V|3.99A,PASS|5.378V|3.99A,PASS|5.303V|3.99A,PASS|5.289V|3.99A,PASS|5.453V|3.99A,PASS|5.303V|3.99A,
<L1-04-02>,09:45:19,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-05-01>,09:48:55,OK,OK,PASS|5.268V|3.99A,PASS|5.211V|3.99A,PASS|5.211V|3.99A,PASS|5.278V|3.99A,PASS|5.220V|3.99A,PASS|5.243V|3.99A,PASS|5.247V|3.99A,PASS|5.264V|3.99A,PASS|5.226V|3.99A,PASS|5.181V|3.99A,PASS|5.260V|3.99A,PASS|5.260V|3.99A,PASS|5.190V|3.99A,PASS|5.194V|3.99A,PASS|5.292V|3.99A,PASS|5.212V|3.99A,
<L1-05-02>,09:48:55,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-06-01>,09:52:31,OK,OK,PASS|5.254V|3.99A,PASS|5.256V|3.99A,PASS|5.179V|3.99A,PASS|5.254V|3.99A,PASS|5.242V|3.99A,PASS|5.334V|3.99A,PASS|5.245V|3.99A,PASS|5.217V|3.99A,PASS|5.194V|3.99A,PASS|5.133V|3.99A,PASS|5.249V|3.99A,PASS|5.282V|3.99A,PASS|5.196V|3.99A,PASS|5.226V|3.99A,PASS|5.315V|3.99A,PASS|5.209V|3.99A,
<L1-06-02>,09:52:31,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
<L1-07-01>,10:00:30,OK,OK,PASS|5.244V|3.99A,PASS|5.246V|3.99A,PASS|5.149V|3.99A,PASS|5.225V|3.99A,PASS|5.169V|3.99A,PASS|5.312V|3.99A,PASS|5.215V|3.99A,PASS|5.285V|3.99A,PASS|5.244V|3.99A,PASS|5.191V|3.99A,PASS|5.233V|3.99A,PASS|5.244V|3.99A,PASS|5.215V|3.99A,PASS|5.206V|3.99A,PASS|5.307V|3.99A,PASS|5.174V|3.99A,
<L1-07-02>,10:00:30,OK,OK,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,PASS|5.000V|4.00A,
