方式, 事件等级, 事件内容, 地址类型, 触发条件, 恢复条件, 读取地址, 数据类型, 通知触发地址, 循环报警, 报警声, 确认时写入值, 字体, 颜色, 告警延迟时间, 监看地址数
0, 低, 自动下机位顶升气缸上升报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3000:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, DC头切换气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3001:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机升降机报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3002:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_1测试位插PIN气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3003:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_1测试位顶升气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3004:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_2测试位插PIN气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3005:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_2测试位顶升气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3006:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_1测试位插PIN气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3007:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_1测试位顶升气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3008:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_2测试位插PIN气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3009:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_2测试位顶升气缸报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3010:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪1报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3011:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪2报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3012:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪3报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3013:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪4报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3014:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪5报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3015:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪6报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3016:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪7报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3017:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手夹爪8报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3018:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机升降机进板超时，请人工确认, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3019:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_1 ID卡读取失败报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3020:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot_2 ID卡读取失败报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3021:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_1 ID卡读取失败报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3022:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate_2_2 ID卡读取失败报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3023:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot测试前缓冲位阻挡下降超时，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3024:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 人工下机位01轨道ID读取失败，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3025:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
